url,company,location,title
https://www.indeed.com/rc/clk?jk=1d03aec49f664f04&fccid=645d83ee4cbe1d25,"
    Blizzard Entertainment","New York, NY",Facilities and Office Coordinator
https://www.indeed.com/rc/clk?jk=786f90c6bbb7cac7&fccid=645d83ee4cbe1d25,"
    Blizzard Entertainment","Irvine, CA","Community Manager, Overwatch League"
https://www.indeed.com/rc/clk?jk=940e4f5ca20b491a&fccid=8f194d2af76d144c,"
    HTC","Los Angeles, CA", Specialist
https://www.indeed.com/rc/clk?jk=dbf2ee675007f47b&fccid=fe2d21eef233e94a,"
    Amazon Corporate LLC","Seattle, WA",Community Manager - Twitch Prime
https://www.indeed.com/rc/clk?jk=135b9693b4815fcf&fccid=7623d3879fa9542a,"
    NBA","New York, NY","Director, Player Operations - "
https://www.indeed.com/rc/clk?jk=f4ac2373d5c71d2c&fccid=734cb5a01ee60f80,"
    Microsoft","Cerritos, CA",Product Expert Gaming
https://www.indeed.com/rc/clk?jk=19dcda850045b885&fccid=aac555fbdb7c8e71,"
    Riot Games","Los Angeles, CA", Communications Manager
https://www.indeed.com/rc/clk?jk=50adf9d3d16fb55c&fccid=645d83ee4cbe1d25,"
    Blizzard Entertainment","New York, NY",Recruiting and HR Coordinator
https://www.indeed.com/rc/clk?jk=78487a7e81b0a2fb&fccid=645d83ee4cbe1d25,"
    Blizzard Entertainment","Irvine, CA",Events Shift Supervisor
https://www.indeed.com/rc/clk?jk=542bb028319151a7&fccid=645d83ee4cbe1d25,"
    Blizzard Entertainment","New York, NY",Audience Development Producer
https://www.indeed.com/rc/clk?jk=b44d5b60b7072747&fccid=645d83ee4cbe1d25,"
    Blizzard Entertainment","Irvine, CA","Social Media Manager, Overwatch League"
https://www.indeed.com/rc/clk?jk=0014445873c7b656&fccid=ea4b9d43d2edf4b3,,"Washington, DC 20003 ", Media Intern
https://www.indeed.com/rc/clk?jk=da124a6c259005a6&fccid=645d83ee4cbe1d25,"
    Blizzard Entertainment","Irvine, CA",Social Media Manager
https://www.indeed.com/rc/clk?jk=7a6476b2848852ef&fccid=92b6ad9b1bd886b6,"
    Turner","New York, NY",Fall 2017 Intern - Business Strategy and Innovations
https://www.indeed.com/rc/clk?jk=891f5fc82cafa034&fccid=b003a846ec18b45b,,"Calabasas, CA",Influencer Relations Manager
https://www.indeed.com/rc/clk?jk=f66c6f855d2b4307&fccid=71147e0539a0a1b7,"
    Activision","Santa Monica, CA 90405","Social Engagement Manager, Digital Marketing (Contract)"
https://www.indeed.com/rc/clk?jk=1198adc3a31901a7&fccid=41fd4272923dc822,,"Washington, DC 20002 ","Coordinator, Ticket Operations"
https://www.indeed.com/rc/clk?jk=45cfe09305cd0b6d&fccid=645d83ee4cbe1d25,"
    Blizzard Entertainment","Irvine, CA",Associate Product Support Specialist
